Chirp,ID,Start,End,Night,Call,Syllables,Audio
LPL11_36,LPL,279331,285741,1,1,5,LPL_1.WAV
LPL11_37,LPL,288695,290448,1,1,2,LPL_1.WAV
LPL11_38,LPL,293184,299446,1,1,5,LPL_1.WAV
LPL11_39,LPL,302435,304162,1,1,2,LPL_1.WAV
LPL11_40,LPL,306829,313133,1,1,5,LPL_1.WAV
LPL11_41,LPL,316518,318236,1,1,2,LPL_1.WAV
LPL11_42,LPL,321135,327386,1,1,5,LPL_1.WAV
LPL11_43,LPL,330465,332363,1,1,2,LPL_1.WAV
LPL11_44,LPL,336599,342809,1,1,5,LPL_1.WAV
LPL11_45,LPL,345903,348619,1,1,3,LPL_1.WAV
LPL11_46,LPL,351476,357818,1,1,5,LPL_1.WAV
LPL11_47,LPL,361102,363812,1,1,3,LPL_1.WAV
LPL11_48,LPL,366690,371142,1,1,4,LPL_1.WAV
LPL11_49,LPL,376574,382911,1,1,5,LPL_1.WAV
LPL11_50,LPL,386056,392467,1,1,5,LPL_1.WAV
LPL11_51,LPL,395403,396963,1,1,2,LPL_1.WAV
LPL11_52,LPL,399996,406326,1,1,5,LPL_1.WAV
LPL11_53,LPL,410701,419008,1,1,6,LPL_1.WAV
LPL11_54,LPL,421492,423230,1,1,2,LPL_1.WAV
LPL11_55,LPL,425633,431875,1,1,5,LPL_1.WAV
LPL11_56,LPL,436628,442860,1,1,5,LPL_1.WAV
LPL11_57,LPL,445283,446236,1,1,1,LPL_1.WAV
LPL11_58,LPL,448008,454323,1,1,5,LPL_1.WAV
LPL11_59,LPL,458113,459802,1,1,2,LPL_1.WAV
LPL11_60,LPL,461709,468079,1,1,5,LPL_1.WAV
LPL11_61,LPL,471076,472852,1,1,2,LPL_1.WAV
LPL11_62,LPL,476343,482648,1,1,5,LPL_1.WAV
LPL11_63,LPL,485011,486672,1,1,2,LPL_1.WAV
LPL11_64,LPL,488393,494719,1,1,5,LPL_1.WAV
LPL11_65,LPL,497670,505472,1,1,6,LPL_1.WAV
LPL11_66,LPL,509266,510919,1,1,2,LPL_1.WAV
LPL11_67,LPL,515272,523581,1,1,6,LPL_1.WAV
LPL11_68,LPL,526669,528426,1,1,2,LPL_1.WAV
LPL11_69,LPL,531105,537249,1,1,5,LPL_1.WAV
LPL11_70,LPL,540143,542799,1,1,3,LPL_1.WAV
LPL11_71,LPL,544934,551510,1,1,6,LPL_1.WAV
LPL11_72,LPL,555079,562768,1,1,6,LPL_1.WAV
LPL11_73,LPL,565737,568243,1,1,3,LPL_1.WAV
LPL11_74,LPL,570878,577238,1,1,5,LPL_1.WAV
LPL11_75,LPL,580775,588143,1,1,6,LPL_1.WAV
LPL11_76,LPL,591072,597359,1,1,5,LPL_1.WAV
LPL11_77,LPL,600889,602558,1,1,2,LPL_1.WAV
LPL11_78,LPL,605370,611639,1,1,5,LPL_1.WAV
LPL11_79,LPL,614485,620671,1,1,5,LPL_1.WAV
LPL11_80,LPL,623655,629884,1,1,5,LPL_1.WAV
LPL11_81,LPL,633592,639060,1,1,5,LPL_1.WAV
LPL11_82,LPL,642716,648670,1,1,5,LPL_1.WAV
LPL11_83,LPL,651560,657834,1,1,5,LPL_1.WAV
LPL11_84,LPL,662004,668059,1,1,5,LPL_1.WAV
LPL11_85,LPL,671415,673147,1,1,2,LPL_1.WAV
LPL11_86,LPL,675957,682158,1,1,5,LPL_1.WAV
LPL11_87,LPL,685347,691517,1,1,5,LPL_1.WAV
LPL11_88,LPL,694554,697058,1,1,3,LPL_1.WAV
LPL11_89,LPL,699164,705447,1,1,5,LPL_1.WAV
LPL11_90,LPL,707610,709319,1,1,2,LPL_1.WAV
LPL11_91,LPL,712573,718184,1,1,5,LPL_1.WAV
LPL11_92,LPL,721250,726875,1,1,5,LPL_1.WAV
LPL11_93,LPL,728619,729574,1,1,1,LPL_1.WAV
LPL11_94,LPL,731392,737669,1,1,5,LPL_1.WAV
LPL11_95,LPL,741028,746903,1,1,5,LPL_1.WAV
LPL11_96,LPL,750577,756142,1,1,5,LPL_1.WAV
LPL11_97,LPL,759177,760762,1,1,2,LPL_1.WAV
LPL11_98,LPL,763597,766342,1,1,3,LPL_1.WAV
LPL11_99,LPL,769343,775801,1,1,5,LPL_1.WAV
LPL11_100,LPL,779189,787450,1,1,6,LPL_1.WAV
LPL11_101,LPL,790749,792461,1,1,2,LPL_1.WAV
LPL11_102,LPL,795025,801367,1,1,5,LPL_1.WAV
LPL11_103,LPL,803960,810102,1,1,5,LPL_1.WAV
LPL11_104,LPL,813020,820959,1,1,6,LPL_1.WAV
LPL11_105,LPL,823907,826694,1,1,3,LPL_1.WAV
LPL11_106,LPL,831096,837376,1,1,5,LPL_1.WAV
LPL11_107,LPL,840310,846603,1,1,5,LPL_1.WAV
LPL11_108,LPL,849654,851400,1,1,2,LPL_1.WAV
LPL11_109,LPL,854270,860592,1,1,5,LPL_1.WAV
LPL11_110,LPL,863558,865238,1,1,2,LPL_1.WAV
LPL11_111,LPL,867895,869593,1,1,2,LPL_1.WAV
LPL11_112,LPL,872276,878737,1,1,5,LPL_1.WAV
LPL11_113,LPL,881327,883054,1,1,2,LPL_1.WAV
LPL11_114,LPL,885744,891927,1,1,5,LPL_1.WAV
LPL11_115,LPL,894922,897612,1,1,3,LPL_1.WAV
LPL11_116,LPL,899966,906332,1,1,5,LPL_1.WAV
LPL11_117,LPL,909381,911137,1,1,2,LPL_1.WAV
LPL11_118,LPL,914003,920293,1,1,5,LPL_1.WAV
LPL11_119,LPL,923874,925594,1,1,2,LPL_1.WAV
LPL11_120,LPL,928440,934755,1,1,5,LPL_1.WAV
LPL11_121,LPL,938559,940232,1,1,2,LPL_1.WAV
LPL11_122,LPL,942572,948778,1,1,5,LPL_1.WAV
LPL11_123,LPL,951461,953209,1,1,2,LPL_1.WAV
LPL11_124,LPL,956598,962978,1,1,5,LPL_1.WAV
LPL11_125,LPL,969906,977577,1,1,6,LPL_1.WAV
LPL11_126,LPL,980630,983228,1,1,3,LPL_1.WAV
LPL11_127,LPL,985757,992220,1,1,5,LPL_1.WAV
LPL11_128,LPL,994795,996525,1,1,2,LPL_1.WAV
LPL11_129,LPL,999490,1005835,1,1,5,LPL_1.WAV
LPL11_130,LPL,1009318,1017648,1,1,6,LPL_1.WAV
LPL11_131,LPL,1020763,1027161,1,1,5,LPL_1.WAV
LPL11_132,LPL,1029950,1032725,1,1,3,LPL_1.WAV
LPL11_133,LPL,1035043,1041673,1,1,5,LPL_1.WAV
LPL11_134,LPL,1044966,1046674,1,1,2,LPL_1.WAV
LPL11_135,LPL,1049424,1055525,1,1,5,LPL_1.WAV
LPL11_136,LPL,1058669,1061292,1,1,3,LPL_1.WAV
LPL11_137,LPL,1063938,1070308,1,1,5,LPL_1.WAV
LPL11_138,LPL,1073960,1079873,1,1,5,LPL_1.WAV
LPL11_139,LPL,1083361,1089680,1,1,5,LPL_1.WAV
LPL11_140,LPL,1093958,1095649,1,1,2,LPL_1.WAV
LPL11_141,LPL,1097954,1104374,1,1,5,LPL_1.WAV
LPL11_142,LPL,1107422,1113152,1,1,5,LPL_1.WAV
LPL11_143,LPL,1117185,1123344,1,1,5,LPL_1.WAV
LPL11_144,LPL,1126444,1132420,1,1,5,LPL_1.WAV
LPL11_145,LPL,1136019,1143874,1,1,6,LPL_1.WAV
LPL11_146,LPL,1147263,1155048,1,1,6,LPL_1.WAV
LPL11_147,LPL,1158587,1166035,1,1,6,LPL_1.WAV
LPL11_148,LPL,1169063,1171656,1,1,3,LPL_1.WAV
LPL11_149,LPL,1174419,1180720,1,1,5,LPL_1.WAV
LPL11_150,LPL,1184142,1189759,1,1,5,LPL_1.WAV
LPL11_151,LPL,1193330,1199504,1,1,5,LPL_1.WAV
LPL11_152,LPL,1203665,1211394,1,1,6,LPL_1.WAV
LPL11_153,LPL,1215722,1221815,1,1,5,LPL_1.WAV
LPL11_154,LPL,1225246,1226937,1,1,2,LPL_1.WAV
LPL11_155,LPL,1229829,1236049,1,1,5,LPL_1.WAV
LPL11_156,LPL,1238833,1245131,1,1,5,LPL_1.WAV
LPL11_157,LPL,1248978,1250611,1,1,2,LPL_1.WAV
LPL11_158,LPL,1252867,1259153,1,1,5,LPL_1.WAV
LPL11_159,LPL,1261522,1263312,1,1,2,LPL_1.WAV
LPL11_160,LPL,1265950,1271716,1,1,5,LPL_1.WAV
LPL11_161,LPL,1274223,1277020,1,1,3,LPL_1.WAV
LPL11_162,LPL,1278833,1283313,1,1,4,LPL_1.WAV
LPL11_163,LPL,1287530,1289211,1,1,2,LPL_1.WAV
LPL11_164,LPL,1291544,1297864,1,1,5,LPL_1.WAV
LPL11_165,LPL,1300414,1302169,1,1,2,LPL_1.WAV
LPL11_166,LPL,1305176,1311095,1,1,5,LPL_1.WAV
LPL11_167,LPL,1314735,1316434,1,1,2,LPL_1.WAV
LPL11_168,LPL,1320439,1326798,1,1,5,LPL_1.WAV
LPL11_169,LPL,1330540,1336267,1,1,5,LPL_1.WAV
LPL11_170,LPL,1339663,1341388,1,1,2,LPL_1.WAV
LPL11_171,LPL,1344100,1350501,1,1,5,LPL_1.WAV
LPL11_172,LPL,1353124,1354889,1,1,2,LPL_1.WAV
LPL11_173,LPL,1357611,1363950,1,1,5,LPL_1.WAV
LPL11_174,LPL,1367606,1373763,1,1,5,LPL_1.WAV
LPL11_175,LPL,1377246,1379912,1,1,3,LPL_1.WAV
LPL11_176,LPL,1382718,1389030,1,1,5,LPL_1.WAV
LPL11_177,LPL,1391810,1394443,1,1,3,LPL_1.WAV
LPL11_178,LPL,1396785,1403082,1,1,5,LPL_1.WAV
LPL11_179,LPL,1406316,1413709,1,1,6,LPL_1.WAV
LPL11_180,LPL,1416922,1419568,1,1,3,LPL_1.WAV
LPL11_181,LPL,1423018,1429357,1,1,5,LPL_1.WAV
LPL11_182,LPL,1433416,1439263,1,1,5,LPL_1.WAV
LPL11_183,LPL,1442163,1443872,1,1,2,LPL_1.WAV
LPL11_184,LPL,1446929,1452970,1,1,5,LPL_1.WAV
LPL11_185,LPL,1455667,1461745,1,1,5,LPL_1.WAV
LPL11_186,LPL,1464614,1472378,1,1,6,LPL_1.WAV
LPL11_187,LPL,1475684,1483212,1,1,6,LPL_1.WAV
LPL11_188,LPL,1485728,1488521,1,1,3,LPL_1.WAV
LPL11_189,LPL,1491621,1497857,1,1,5,LPL_1.WAV
LPL11_190,LPL,1500590,1502403,1,1,2,LPL_1.WAV
LPL11_191,LPL,1505066,1511115,1,1,5,LPL_1.WAV
LPL11_192,LPL,1514085,1516760,1,1,3,LPL_1.WAV
LPL11_193,LPL,1519573,1525529,1,1,5,LPL_1.WAV
LPL11_194,LPL,1528238,1536640,1,1,6,LPL_1.WAV
LPL11_195,LPL,1540131,1547899,1,1,6,LPL_1.WAV
LPL11_196,LPL,1550474,1552181,1,1,2,LPL_1.WAV
LPL11_197,LPL,1555117,1561118,1,1,5,LPL_1.WAV
LPL11_198,LPL,1564068,1565821,1,1,2,LPL_1.WAV
LPL11_199,LPL,1568554,1576797,1,1,6,LPL_1.WAV
LPL11_200,LPL,1578896,1580632,1,1,2,LPL_1.WAV
LPL11_201,LPL,1582423,1588924,1,1,5,LPL_1.WAV
LPL11_202,LPL,1592415,1602773,1,1,8,LPL_1.WAV
LPL11_203,LPL,1604715,1605671,1,1,1,LPL_1.WAV
LPL11_204,LPL,1608674,1614951,1,1,5,LPL_1.WAV
LPL11_205,LPL,1617645,1619400,1,1,2,LPL_1.WAV
LPL11_206,LPL,1622184,1628560,1,1,5,LPL_1.WAV
LPL11_207,LPL,1633095,1639200,1,1,5,LPL_1.WAV
LPL11_208,LPL,1642009,1648334,1,1,5,LPL_1.WAV
LPL11_209,LPL,1652186,1660258,1,1,6,LPL_1.WAV
LPL11_210,LPL,1663306,1668848,1,1,5,LPL_1.WAV
LPL11_211,LPL,1672197,1677753,1,1,5,LPL_1.WAV
LPL11_212,LPL,1681013,1683731,1,1,3,LPL_1.WAV
LPL11_213,LPL,1686533,1692854,1,1,5,LPL_1.WAV
LPL11_214,LPL,1695747,1703844,1,1,6,LPL_1.WAV
LPL11_215,LPL,1706731,1712893,1,1,5,LPL_1.WAV
LPL11_216,LPL,1715939,1723907,1,1,6,LPL_1.WAV
LPL11_217,LPL,1727267,1733047,1,1,5,LPL_1.WAV
LPL11_218,LPL,1737017,1739666,1,1,3,LPL_1.WAV
LPL11_219,LPL,1742464,1748354,1,1,5,LPL_1.WAV
LPL11_220,LPL,1751303,1757338,1,1,5,LPL_1.WAV
LPL11_221,LPL,1760450,1768086,1,1,6,LPL_1.WAV
LPL11_222,LPL,1771037,1776658,1,1,5,LPL_1.WAV
LPL11_223,LPL,1780406,1782095,1,1,2,LPL_1.WAV
LPL11_224,LPL,1784794,1790897,1,1,5,LPL_1.WAV
LPL11_225,LPL,1793557,1799889,1,1,5,LPL_1.WAV
LPL11_226,LPL,1802893,1809142,1,1,5,LPL_1.WAV
LPL11_227,LPL,1813548,1821094,1,1,6,LPL_1.WAV
LPL11_228,LPL,1823254,1824977,1,1,2,LPL_1.WAV
LPL11_229,LPL,1828018,1833690,1,1,5,LPL_1.WAV
LPL11_230,LPL,1837193,1838981,1,1,2,LPL_1.WAV
LPL11_231,LPL,1841874,1847528,1,1,5,LPL_1.WAV
LPL11_232,LPL,1850624,1856883,1,1,5,LPL_1.WAV
LPL11_233,LPL,1860389,1867769,1,1,6,LPL_1.WAV
LPL11_234,LPL,1870640,1873315,1,1,3,LPL_1.WAV
LPL11_235,LPL,1876074,1881894,1,1,5,LPL_1.WAV
LPL11_236,LPL,1886448,1894477,1,1,6,LPL_1.WAV
LPL11_237,LPL,1897384,1903635,1,1,5,LPL_1.WAV
LPL11_238,LPL,1907926,1915927,1,1,6,LPL_1.WAV
LPL11_239,LPL,1918194,1919901,1,1,2,LPL_1.WAV
LPL11_240,LPL,1922713,1929017,1,1,5,LPL_1.WAV
LPL11_241,LPL,1930695,1932540,1,1,2,LPL_1.WAV
LPL11_242,LPL,1934277,1940785,1,1,5,LPL_1.WAV
LPL11_243,LPL,1943890,1954399,1,1,8,LPL_1.WAV
LPL11_244,LPL,1957798,1964108,1,1,5,LPL_1.WAV
LPL11_245,LPL,1966934,1973333,1,1,5,LPL_1.WAV
LPL11_246,LPL,1976377,1979106,1,1,3,LPL_1.WAV
LPL11_247,LPL,1981202,1997492,1,1,11,LPL_1.WAV
LPL11_248,LPL,2001545,2007361,1,1,5,LPL_1.WAV
LPL11_249,LPL,2010002,2012656,1,1,3,LPL_1.WAV
LPL11_250,LPL,2015324,2021772,1,1,5,LPL_1.WAV
LPL11_251,LPL,2024499,2030498,1,1,5,LPL_1.WAV
LPL11_252,LPL,2033155,2038853,1,1,5,LPL_1.WAV
LPL11_253,LPL,2041169,2047319,1,1,5,LPL_1.WAV
LPL11_254,LPL,2050903,2058360,1,1,6,LPL_1.WAV
LPL11_255,LPL,2060231,2061994,1,1,2,LPL_1.WAV
LPL11_256,LPL,2064731,2070390,1,1,5,LPL_1.WAV
LPL11_257,LPL,2073155,2074860,1,1,2,LPL_1.WAV
LPL11_258,LPL,2076984,2083231,1,1,5,LPL_1.WAV
LPL11_259,LPL,2085894,2092172,1,1,5,LPL_1.WAV
LPL11_260,LPL,2094752,2100426,1,1,5,LPL_1.WAV
LPL11_261,LPL,2103119,2110682,1,1,6,LPL_1.WAV
LPL11_262,LPL,2113343,2119011,1,1,5,LPL_1.WAV
LPL11_263,LPL,2121986,2127601,1,1,5,LPL_1.WAV
LPL11_264,LPL,2130252,2136387,1,1,5,LPL_1.WAV
LPL11_265,LPL,2139057,2145030,1,1,5,LPL_1.WAV
LPL11_266,LPL,2147843,2149625,1,1,2,LPL_1.WAV
LPL11_267,LPL,2151770,2160141,1,1,6,LPL_1.WAV
LPL11_268,LPL,2161882,2163700,1,1,2,LPL_1.WAV
LPL11_269,LPL,2166626,2172913,1,1,5,LPL_1.WAV
LPL11_270,LPL,2175914,2184190,1,1,6,LPL_1.WAV
LPL11_271,LPL,2186594,2192793,1,1,5,LPL_1.WAV
LPL11_272,LPL,2195687,2201515,1,1,5,LPL_1.WAV
LPL11_273,LPL,2205848,2211521,1,1,5,LPL_1.WAV
LPL11_274,LPL,2214268,2216920,1,1,3,LPL_1.WAV
LPL11_275,LPL,2219656,2225997,1,1,5,LPL_1.WAV
LPL11_276,LPL,2228961,2235082,1,1,5,LPL_1.WAV
LPL11_277,LPL,2238026,2243858,1,1,5,LPL_1.WAV
LPL11_278,LPL,2246542,2248227,1,1,2,LPL_1.WAV
LPL11_279,LPL,2251060,2258482,1,1,6,LPL_1.WAV
LPL11_280,LPL,2261133,2267172,1,1,5,LPL_1.WAV
LPL11_281,LPL,2269970,2275950,1,1,5,LPL_1.WAV
LPL11_282,LPL,2278243,2285943,1,1,6,LPL_1.WAV
LPL11_283,LPL,2287986,2293529,1,1,5,LPL_1.WAV
LPL11_284,LPL,2296235,2297956,1,1,2,LPL_1.WAV
LPL11_285,LPL,2300213,2306402,1,1,5,LPL_1.WAV
LPL11_286,LPL,2308806,2314982,1,1,5,LPL_1.WAV
LPL11_287,LPL,2317844,2323832,1,1,5,LPL_1.WAV
LPL11_288,LPL,2326525,2332215,1,1,5,LPL_1.WAV
LPL11_289,LPL,2335125,2336873,1,1,2,LPL_1.WAV
LPL11_290,LPL,2339462,2345287,1,1,5,LPL_1.WAV
LPL11_291,LPL,2348534,2354076,1,1,5,LPL_1.WAV
LPL11_292,LPL,2357033,2364505,1,1,6,LPL_1.WAV
LPL11_293,LPL,2367971,2375443,1,1,6,LPL_1.WAV
LPL11_294,LPL,2377264,2382838,1,1,5,LPL_1.WAV
LPL11_295,LPL,2385548,2393154,1,1,6,LPL_1.WAV
LPL11_296,LPL,2395767,2401420,1,1,5,LPL_1.WAV
LPL11_297,LPL,2404066,2406816,1,1,3,LPL_1.WAV
LPL11_298,LPL,2409154,2415433,1,1,5,LPL_1.WAV
LPL11_299,LPL,2417826,2423692,1,1,5,LPL_1.WAV
LPL11_300,LPL,2427121,2432831,1,1,5,LPL_1.WAV
LPL11_301,LPL,2436049,2441887,1,1,5,LPL_1.WAV
LPL11_302,LPL,2444699,2450851,1,1,5,LPL_1.WAV
LPL11_303,LPL,2453656,2459362,1,1,5,LPL_1.WAV
LPL11_304,LPL,2461814,2463597,1,1,2,LPL_1.WAV
LPL11_305,LPL,2466214,2472054,1,1,5,LPL_1.WAV
LPL11_306,LPL,2475412,2477171,1,1,2,LPL_1.WAV
LPL11_307,LPL,2479996,2485630,1,1,5,LPL_1.WAV
LPL11_308,LPL,2488945,2494866,1,1,5,LPL_1.WAV
LPL11_309,LPL,2497784,2503780,1,1,5,LPL_1.WAV
LPL11_310,LPL,2506661,2512504,1,1,5,LPL_1.WAV
LPL11_311,LPL,2517319,2525339,1,1,6,LPL_1.WAV
LPL11_312,LPL,2529558,2537185,1,1,6,LPL_1.WAV
LPL11_313,LPL,2539845,2546153,1,1,5,LPL_1.WAV
LPL11_314,LPL,2549366,2555207,1,1,5,LPL_1.WAV
LPL11_315,LPL,2558050,2559762,1,1,2,LPL_1.WAV
LPL11_316,LPL,2562567,2568641,1,1,5,LPL_1.WAV
LPL11_317,LPL,2573167,2581087,1,1,6,LPL_1.WAV
LPL11_318,LPL,2584141,2592370,1,1,6,LPL_1.WAV
LPL11_319,LPL,2595805,2603796,1,1,6,LPL_1.WAV
LPL11_320,LPL,2606456,2612153,1,1,5,LPL_1.WAV
LPL11_321,LPL,2614790,2620601,1,1,5,LPL_1.WAV
LPL11_322,LPL,2623319,2627629,1,1,4,LPL_1.WAV
LPL11_323,LPL,2631385,2638966,1,1,6,LPL_1.WAV
LPL11_324,LPL,2641470,2649205,1,1,6,LPL_1.WAV
LPL11_325,LPL,2651993,2657568,1,1,5,LPL_1.WAV
LPL11_326,LPL,2661123,2668700,1,1,6,LPL_1.WAV
LPL11_327,LPL,2671157,2677325,1,1,5,LPL_1.WAV
LPL11_328,LPL,2680995,2686817,1,1,5,LPL_1.WAV
LPL11_329,LPL,2689548,2691327,1,1,2,LPL_1.WAV
LPL11_330,LPL,2693319,2701175,1,1,6,LPL_1.WAV
LPL11_331,LPL,2703393,2711134,1,1,6,LPL_1.WAV
LPL11_332,LPL,2714068,2719815,1,1,5,LPL_1.WAV
LPL11_333,LPL,2722492,2724278,1,1,2,LPL_1.WAV
LPL11_334,LPL,2726183,2732194,1,1,5,LPL_1.WAV
LPL11_335,LPL,2734839,2736609,1,1,2,LPL_1.WAV
LPL11_336,LPL,2740685,2746624,1,1,5,LPL_1.WAV
LPL11_337,LPL,2749385,2755670,1,1,5,LPL_1.WAV
LPL11_338,LPL,2758456,2764608,1,1,5,LPL_1.WAV
LPL11_339,LPL,2767690,2770323,1,1,3,LPL_1.WAV
LPL11_340,LPL,2772328,2778806,1,1,5,LPL_1.WAV
LPL11_341,LPL,2781557,2787627,1,1,5,LPL_1.WAV
LPL11_342,LPL,2790482,2796406,1,1,5,LPL_1.WAV
LPL11_343,LPL,2799211,2805310,1,1,5,LPL_1.WAV
LPL11_344,LPL,2808502,2814348,1,1,5,LPL_1.WAV
LPL11_345,LPL,2817430,2820079,1,1,3,LPL_1.WAV
LPL11_346,LPL,2822201,2828483,1,1,5,LPL_1.WAV
LPL11_347,LPL,2831389,2837159,1,1,5,LPL_1.WAV
LPL11_348,LPL,2839844,2845672,1,1,5,LPL_1.WAV
LPL11_349,LPL,2848411,2850189,1,1,2,LPL_1.WAV
LPL11_350,LPL,2852142,2858093,1,1,5,LPL_1.WAV
LPL11_351,LPL,2860971,2866669,1,1,5,LPL_1.WAV
LPL11_352,LPL,2869296,2875196,1,1,5,LPL_1.WAV
LPL11_353,LPL,2878255,2885641,1,1,6,LPL_1.WAV
LPL11_354,LPL,2888518,2894573,1,1,5,LPL_1.WAV
LPL11_355,LPL,2897269,2903287,1,1,5,LPL_1.WAV
LPL11_356,LPL,2906622,2914257,1,1,6,LPL_1.WAV
LPL11_357,LPL,2917143,2924811,1,1,6,LPL_1.WAV
LPL11_358,LPL,2927549,2935261,1,1,6,LPL_1.WAV
LPL11_359,LPL,2937296,2943063,1,1,5,LPL_1.WAV
LPL11_360,LPL,2945972,2951661,1,1,5,LPL_1.WAV
LPL11_361,LPL,2954627,2960365,1,1,5,LPL_1.WAV
LPL11_362,LPL,2962807,2969182,1,1,5,LPL_1.WAV
LPL11_363,LPL,2971466,2979031,1,1,6,LPL_1.WAV
LPL11_364,LPL,2981956,2989353,1,1,6,LPL_1.WAV
LPL11_365,LPL,2992518,3000207,1,1,6,LPL_1.WAV
LPL11_366,LPL,3003087,3010732,1,1,6,LPL_1.WAV
LPL11_367,LPL,3013158,3020761,1,1,6,LPL_1.WAV
LPL11_368,LPL,3022617,3024407,1,1,2,LPL_1.WAV
LPL11_369,LPL,3026661,3032801,1,1,7,LPL_1.WAV
LPL11_370,LPL,3036178,3043517,1,1,6,LPL_1.WAV
LPL11_371,LPL,3046284,3054142,1,1,6,LPL_1.WAV
LPL11_372,LPL,3057181,3065098,1,1,6,LPL_1.WAV
LPL11_373,LPL,3068012,3070707,1,1,3,LPL_1.WAV
LPL11_374,LPL,3074939,3081323,1,1,5,LPL_1.WAV
LPL11_375,LPL,3084450,3092692,1,1,6,LPL_1.WAV
LPL11_376,LPL,3096812,3102826,1,1,5,LPL_1.WAV
LPL11_377,LPL,3108278,3114504,1,1,5,LPL_1.WAV
LPL11_378,LPL,3117376,3123950,1,1,5,LPL_1.WAV
LPL11_379,LPL,3127148,3134847,1,1,6,LPL_1.WAV
LPL11_380,LPL,3137454,3143704,1,1,5,LPL_1.WAV
LPL11_381,LPL,3148207,3154452,1,1,5,LPL_1.WAV
LPL11_382,LPL,3157467,3163685,1,1,5,LPL_1.WAV
LPL11_383,LPL,3166740,3173019,1,1,5,LPL_1.WAV
LPL11_384,LPL,3177681,3183562,1,1,5,LPL_1.WAV
LPL11_385,LPL,3186404,3192681,1,1,5,LPL_1.WAV
LPL11_386,LPL,3195598,3201340,1,1,5,LPL_1.WAV
LPL11_387,LPL,3204155,3210569,1,1,5,LPL_1.WAV
LPL11_388,LPL,3213438,3221009,1,1,6,LPL_1.WAV
LPL11_389,LPL,3223847,3229624,1,1,5,LPL_1.WAV
LPL11_390,LPL,3232617,3238918,1,1,5,LPL_1.WAV
LPL11_391,LPL,3241779,3249330,1,1,6,LPL_1.WAV
LPL11_392,LPL,3252366,3258171,1,1,5,LPL_1.WAV
LPL11_393,LPL,3260944,3266763,1,1,5,LPL_1.WAV
LPL11_394,LPL,3269564,3275378,1,1,5,LPL_1.WAV
LPL11_395,LPL,3278248,3285941,1,1,6,LPL_1.WAV
LPL11_396,LPL,3288828,3304015,1,1,11,LPL_1.WAV
LPL11_397,LPL,3306846,3312507,1,1,5,LPL_1.WAV
LPL11_398,LPL,3315206,3320880,1,1,5,LPL_1.WAV
LPL11_399,LPL,3324506,3332181,1,1,6,LPL_1.WAV
LPL11_400,LPL,3334077,3340392,1,1,5,LPL_1.WAV
LPL11_401,LPL,3343141,3348768,1,1,5,LPL_1.WAV
LPL11_402,LPL,3351647,3357869,1,1,5,LPL_1.WAV
LPL11_403,LPL,3360518,3366594,1,1,5,LPL_1.WAV
LPL11_404,LPL,3369459,3375752,1,1,5,LPL_1.WAV
